id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
2326,8527,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Nike Men Nike air embark Black Sandals,8527.jpg
2327,49600,Women,Footwear,Shoes,Heels,White,Winter,2015,Casual,Catwalk Women White Flats,49600.jpg
2328,12598,Unisex,Apparel,Topwear,Tshirts,Orange,Fall,2011,Casual,Tantra Unisex Printed Orange Tshirts,12598.jpg
2329,19170,Men,Apparel,Topwear,Tshirts,Olive,Summer,2011,Casual,United Colors of Benetton Men Printed Olive TShirt,19170.jpg
2330,16138,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Tokyo Talkies Women Printed Grey Top,16138.jpg
2332,28637,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Sports,Nike Men Air Relentless Black Sports Shoes,28637.jpg
2333,2821,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Formal,Lee Cooper Men Formal Leather Brown Sandal,2821.jpg
2335,13678,Women,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,ADIDAS Women Blazer Sports Shoes,13678.jpg
2336,18290,Women,Apparel,Topwear,Kurtas,Orange,Fall,2011,Ethnic,Aneri Women Shabarana Orange Kurta,18290.jpg
2339,43934,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Catwalk Women Black Heels,43934.jpg
2342,20668,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2011,Casual,Classic Polo Men Striped Maroon Tshirt,20668.jpg
2343,11913,Men,Footwear,Sandal,Sandals,Black,Summer,2013,Casual,Franco Leone Men Casual Black Sandals,11913.jpg
2344,5836,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,ADIDAS Men's Gdancin Pink T-shirt,5836.jpg
2350,15749,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,2011,Casual,Highlander Men Solid Navy Blue Trousers,15749.jpg
2354,19184,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,United Colors Of Benetton Men Red Check Shirt,19184.jpg
2357,9401,Men,Footwear,Shoes,Sports Shoes,Blue,Fall,2011,Sports,Nike Men Lunarswi + 2 Blue Sports Shoes,9401.jpg
2360,29711,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Formal,John Miller Men Check Blue Shirt,29711.jpg
2361,6449,Women,Footwear,Flip Flops,Flip Flops,Black,Summer,2011,Casual,Lotto Women's Cross Color Beige Black Flip Flop,6449.jpg
2365,23825,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2012,Casual,Puma Men Java Brown Flip Flops,23825.jpg
2366,48514,Women,Apparel,Topwear,Tops,Grey,Summer,2012,Casual,French Connection Women Grey Top,48514.jpg
2367,9633,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Indigo Nation Men Price catch Blue White Shirts,9633.jpg
2369,51439,Women,Apparel,Topwear,Tops,Grey,Summer,2012,Casual,Myntra Women Grey Top,51439.jpg
2373,10835,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Wrangler Men Black Polo Tshirts,10835.jpg
2375,10009,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Sports,Nike Men Town Round Red Neck T-Shirts,10009.jpg
2376,38663,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Sports,Nike Men Downshifter Black Sports Shoes,38663.jpg
2377,40779,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2012,Casual,Quiksilver Men Brown Flip Flops,40779.jpg
2379,4910,Women,Apparel,Topwear,Tops,Pink,Summer,2011,Casual,Levis Kids Girl's Dionne Pink Teens Kidswear,4910.jpg
2380,43598,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2012,Casual,Angry Birds Men Charcoal T-shirt,43598.jpg
2382,9257,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Mark Taylor Men Blue Striped Shirt,9257.jpg
2383,18600,Women,Footwear,Shoes,Flats,Grey,Fall,2011,Casual,Puma Women Roque Grey Sandals,18600.jpg
2387,30856,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Fabindia Women Green Bijli Print Khadi Kurta,30856.jpg
2389,26933,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Jealous 21 Women Black Top,26933.jpg
2391,29147,Men,Apparel,Topwear,Tshirts,Green,Summer,2012,Casual,United Colors of Benetton Men Printed Green T-shirt,29147.jpg
2393,4548,Women,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Nike Women Sweet AC Black Shoe,4548.jpg
2399,56876,Women,Footwear,Shoes,Heels,Blue,Winter,2012,Casual,HM Women Blue Heels,56876.jpg
2400,21118,Men,Apparel,Topwear,Shirts,Olive,Fall,2011,Casual,s.Oliver Men Check Olive Shirt,21118.jpg
2406,57198,Women,Apparel,Topwear,Tops,Multi,Summer,2012,Casual,Elle Women Multi Coloured Top,57198.jpg
2408,6811,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2011,Casual,Timberland Men's Ox Maroon Red Shoe,6811.jpg
2410,9065,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Mark Taylor Men Blue Striped Shirt,9065.jpg
2412,42678,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,2012,Ethnic,Alma Women Navy Blue Printed Kurta,42678.jpg
2415,9859,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011,Casual,Status Quo Men Pink Polo Tshirts,9859.jpg
2416,12934,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Classic Polo Men Rugby Scrum Blue Tshirts,12934.jpg
2418,3103,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,Probase Men's Wtf Blue T-Shirt,3103.jpg
2419,42224,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Sepia Women White Top,42224.jpg
2423,13486,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,United Colors of Benetton Men Stripes White Shirts,13486.jpg
2424,19980,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,United Colors of Benetton Men Printed Yellow TShirt,19980.jpg
2428,23213,Women,Apparel,Topwear,Kurtas,White,Fall,2011,Ethnic,Aneri Women Gauri White Kurta,23213.jpg
2429,17026,Men,Footwear,Flip Flops,Flip Flops,Blue,Summer,2013,Casual,Gas Men Beach Flip Flops,17026.jpg
2430,18852,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Puma Men Head Navy Blue Tshirt,18852.jpg
2431,6471,Women,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,ADIDAS Women's Polo Grey T-shirt,6471.jpg
2437,4326,Unisex,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Tantra Kid's Unisex Got It Pink Kidswear,4326.jpg
2439,24036,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Locomotive Men Printed Red T-shirt,24036.jpg
2440,1654,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Reebok Men's Frisker LP Shoe,1654.jpg
2442,33081,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,U.S. Polo Assn. Denim Co. Men Navy Blue T-Shirt,33081.jpg
2443,40573,Women,Apparel,Topwear,Kurtas,Cream,Summer,2012,Ethnic,W Women Cream Kurta,40573.jpg
2445,14491,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Flying Machine Men Casual Black Casual Shoes,14491.jpg
2448,4114,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Fila Men Obsidian Black Sandal,4114.jpg
2449,15543,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Casual Brown Wedges,15543.jpg
2450,40741,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Winter,2015,Casual,Converse Unisex Navy Blue Flip Flops,40741.jpg
2451,10031,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Nike Men As Arsenal Co Navy Blue T-Shirts,10031.jpg
2452,24204,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Deni Yo Men Skinny Fit Blue Jeans,24204.jpg
2454,4928,Women,Apparel,Topwear,Tops,Green,Summer,2011,Casual,Gini and Jony Girl's Venice Green Blue Infant Kidswear,4928.jpg
2457,42016,Men,Footwear,Shoes,Sports Shoes,Silver,Summer,2012,Sports,ADIDAS Men Silver Phaedra Shoes,42016.jpg
2458,12766,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Spykar Men Stripe Navy Blue T-Shirts,12766.jpg
2459,26553,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2012,Casual,ID Men Blue Shoes,26553.jpg
2462,51401,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Myntra Men Blue and Yellow Check Shirt,51401.jpg
2464,7791,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Proline Men's Polo Solid Olive T-shirt,7791.jpg
2465,47564,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Portia Women Brown Sandals,47564.jpg
2467,6643,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,2011,Sports,Nike Women's Transform III IN Black Pink Shoe,6643.jpg
2470,4570,Women,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Nike Women Iza Black Shoe,4570.jpg
2472,15127,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2012,Casual,Arrow Sport Men Solid  Brown Trousers,15127.jpg
2474,44785,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Lotto Men L500 FG White Sports Shoes,44785.jpg
2477,40325,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012,Sports,ADIDAS Men White Sport Shoes,40325.jpg
2479,10455,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011,Casual,Flying Machine Men Mauvemist Purple Tshirts,10455.jpg
2481,54517,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012,Sports,F Sports Men White Bratt Sports Shoes,54517.jpg
2482,18638,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Puma Men V.11 Speed Black Tshirts,18638.jpg
2485,2687,Women,Apparel,Topwear,Tshirts,Orange,Summer,2011,Casual,Inkfruit Women's Love Wood Orange T-shirt,2687.jpg
2487,3755,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Status Quo Men's Concerts Black T-shirt,3755.jpg
2491,6227,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,Lee Men's Grey Yellowbrass T-shirt,6227.jpg
2492,17670,Women,Footwear,Shoes,Heels,Black,Winter,2015,Casual,Catwalk Women Fancy Black Heels,17670.jpg
2493,22597,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011,Sports,Nike Men Orange T-shirt,22597.jpg
2496,54725,Women,Apparel,Topwear,Kurtas,Pink,Fall,2012,Ethnic,Shree Women Coral Coloured Printed Kurta,54725.jpg
2497,6829,Women,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,Nike Women's Lunar Swift White Blue Shoe,6829.jpg
2498,12130,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Aurelia Women Printed Green Kurtas,12130.jpg
2499,26305,Men,Apparel,Topwear,Tshirts,Cream,Fall,2013,Casual,Proline Men Pack of 3 T-Shirts,26305.jpg
2500,3567,Men,Footwear,Shoes,Sports Shoes,Silver,Summer,2011,Sports,ADIDAS Men's Silver White Running Shoe,3567.jpg
2501,42640,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Casual,W Women Red Dress,42640.jpg
2502,23677,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Red Tape Men Cross Band Brown Sandals,23677.jpg
2506,6015,Men,Apparel,Topwear,Shirts,Black,Summer,2011,Casual,Highlander Men Small Black Checked Shirt,6015.jpg
2507,35712,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2012,Sports,Nike Men Dual Fusion TR III Grey Sports Shoes,35712.jpg
2510,15315,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Men Eqt Nitro Fashion Black Sports Shoes,15315.jpg
2511,4742,Women,Footwear,Shoes,Casual Shoes,Grey,Summer,2011,Casual,Numero Uno Women NY Grey Blue Shoe,4742.jpg
2512,5690,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2015,Casual,Skechers Men Valence Envoy Black Shoe,5690.jpg
2516,24452,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Nike Men White Court Shuttle IV Sports Shoes,24452.jpg
2519,14001,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Nike Men Solid Navy Blue Jerseys,14001.jpg
2520,20234,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Wrangler Women Baroque Polo Turquoise T-shirt,20234.jpg
2522,37283,Women,Apparel,Topwear,Tshirts,Brown,Summer,2012,Casual,Tantra Women Brown Fight Peace T-shirt,37283.jpg
2523,44771,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012,Casual,Globalite Men Navy Blue Skid Shoes,44771.jpg
2525,11573,Women,Apparel,Topwear,Kurtas,Green,Summer,2011,Ethnic,W Women Printed Green Kurtas,11573.jpg
2529,24694,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Locomotive Men Striped White T-shirt,24694.jpg
2533,28865,Men,Apparel,Topwear,Tshirts,Brown,Summer,2012,Casual,Proline Men Brown Striped Polo T-shirt,28865.jpg
2538,34406,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Myntra Men Black Printed T-shirt,34406.jpg
2541,17684,Women,Footwear,Shoes,Casual Shoes,Grey,Winter,2015,Casual,Catwalk Women Ballerina Grey Casual Shoe,17684.jpg
2542,31948,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012,Sports,Nike Men Air Pegasus Blue Sports Shoes,31948.jpg
2545,7301,Women,Apparel,Topwear,Tops,Blue,Summer,2011,Casual,UCB Women Stripe Short Sleeve Blue White Top,7301.jpg
2547,30294,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012,Casual,Myntra Men Global Response Off White T-shirt,30294.jpg
2549,13016,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Inc 5 Women Casual Brown Wedges,13016.jpg
2551,34634,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012,Casual,Lotto Men Brown Fella Tres Shoes,34634.jpg
2553,8947,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011,Casual,Indigo Nation Men ID Printed Grey Trousers,8947.jpg
2554,22751,Women,Apparel,Topwear,Kurtas,White,Fall,2011,Ethnic,BIBA Women Printed White Kurta,22751.jpg
2557,5664,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Tantra Men's Shloka Blue T-shirt,5664.jpg
2559,20006,Women,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,United Colors of Benetton Women Printed Green T-shirt,20006.jpg
2561,25574,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Sports,FILA Men Trempet Black & White Sports Shoes,25574.jpg
2563,11741,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Lee Men Stripes Navy Blue T-shirt,11741.jpg
2564,10693,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Doodle Girl Cute Purple Tops,10693.jpg
2565,57154,Women,Apparel,Topwear,Tshirts,Grey Melange,Summer,2012,Casual,Elle Women Grey Melange T-shirt,57154.jpg
2567,19148,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,United Colors of Benetton Men Navy Blue Polo Tshirt,19148.jpg
2569,26795,Men,Apparel,Topwear,Shirts,Blue,Summer,2013,Formal,Arrow Men Blue Shirt,26795.jpg
2571,49638,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Mineral Women Pink Top,49638.jpg
2573,2025,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Sports,ADIDAS Mens Full Grey T-shirt,2025.jpg
2577,19974,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,United Colors of Benetton Women Yellow T-shirt,19974.jpg
2580,6485,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,ADIDAS Men's Grey Strip T-shirt,6485.jpg
2583,14657,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011,Casual,Probase Men Solid DK.Grey Trousers,14657.jpg
2584,33849,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012,Casual,Puma Men Blue Shoes,33849.jpg
2589,57530,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Provogue Men Black Casual Shoes,57530.jpg
2590,33075,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,U.S.Polo Assn. Men Blue & Orange Striped T-shirt,33075.jpg
2591,40587,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Aurelia Women Brown Kurta,40587.jpg
2592,41455,Men,Footwear,Sandal,Sandals,Grey,Summer,2012,Casual,Lee Cooper Men Grey Sandals,41455.jpg
2594,44315,Men,Apparel,Bottomwear,Trousers,Blue,Summer,2012,Casual,Indian Terrain Men Blue Trousers,44315.jpg
2595,36735,Women,Apparel,Topwear,Tshirts,Multi,Summer,2012,Casual,Spykar Women Cult Multi T-shirt,36735.jpg
2598,33247,Men,Apparel,Topwear,Shirts,Grey,Summer,2012,Formal,Arrow Men Grey Check Shirt,33247.jpg
2601,11117,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Formal,Indigo Nation Men Solid Grey Shirts,11117.jpg
2603,32395,Women,Apparel,Topwear,Shirts,Grey,Summer,2012,Formal,Arrow Woman Grey Shirt,32395.jpg
2605,12792,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Men Manchester United Black Jersey,12792.jpg
2607,13640,Women,Footwear,Shoes,Flats,Purple,Winter,2012,Casual,Carlton London Women Purple Flat Shoes,13640.jpg
2611,16332,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,Peter England Men Stripes Red Shirt,16332.jpg
2614,47590,Women,Footwear,Shoes,Heels,Green,Winter,2012,Casual,Portia Women Green Sandals,47590.jpg
2618,56871,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,HM Women Black Sandals,56871.jpg
2619,44588,Men,Apparel,Topwear,Shirts,White,Summer,2012,Casual,Scullers Men White & Navy Blue Check Shirt,44588.jpg
2620,32508,Men,Footwear,Sandal,Sandals,Brown,Winter,2015,Casual,Franco Leone Men Brown Sandals,32508.jpg
2622,21923,Women,Apparel,Topwear,Kurtas,Black,Fall,2011,Ethnic,BIBA Women Printed Black Kurta,21923.jpg
2624,10658,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Doodle Girl Little frock White Tops,10658.jpg
2627,9062,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Formal,Mark Taylor Men Pink Striped Shirt,9062.jpg
2630,6816,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2011,Casual,Timberland Men's Desert Walnut Brown Shoe,6816.jpg
2631,3558,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2015,Casual,Skechers Men's Brown Casual Lifestyle Shoe,3558.jpg
2632,23648,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2012,Casual,Disney Men Maroon Printed T-shirt,23648.jpg
2633,12933,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Classic Polo Men Broad Stripes Green Tshirts,12933.jpg
2634,54528,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012,Casual,F Sports Men White Charger Shoes,54528.jpg
2636,9250,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,Mark Taylor Men Red Striped Shirt,9250.jpg
2640,30851,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Fabindia Women Printed Green Kurta,30851.jpg
2647,15118,Men,Apparel,Bottomwear,Trousers,Black,Fall,2013,Formal,Arrow Men Stripes Black Trousers,15118.jpg
2650,37248,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012,Casual,United Colors of Benetton Men Brown Shoes,37248.jpg
2653,42029,Women,Footwear,Shoes,Sports Shoes,Purple,Summer,2012,Sports,ADIDAS Women Purple Chill Sports Shoes,42029.jpg
2654,12759,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Spykar Women Washed Blue Jeans,12759.jpg
2655,35947,Men,Apparel,Topwear,Shirts,White,Summer,2012,Casual,Flying Machine Men White Shirt,35947.jpg
2656,18263,Women,Apparel,Topwear,Kurtas,Yellow,Fall,2011,Ethnic,Aneri Women Nancy Yellow Kurta,18263.jpg
2657,9634,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Indigo Nation Men Price catch Black White Shirts,9634.jpg
2658,48513,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,French Connection Women Black Top,48513.jpg
2659,23822,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,2012,Casual,Puma Men Breeze Red Flip Flops,23822.jpg
2665,10832,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Wrangler Men American Music Folk Green T-Shirts,10832.jpg
2667,38664,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2012,Casual,Nike Men Liteforce Grey Shoes,38664.jpg
2668,4917,Women,Apparel,Topwear,Tops,Pink,Summer,2011,Casual,Gini and Jony Girl's Vollie Pink Kidswear,4917.jpg
2669,24835,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Rockport Men Brown Cashaw Camel Suede Casual Shoes,24835.jpg
2672,32950,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,ADIDAS Neo Unisex Court Sequence Black Shoes,32950.jpg
2673,52089,Women,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Myntra Women Black T-shirt,52089.jpg
2674,4319,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Tantra Kid's Unisex Free Spirit Turquoise Kidswear,4319.jpg
2676,39584,Women,Footwear,Shoes,Heels,Black,Winter,2015,Casual,Catwalk Women Black Heels,39584.jpg
2678,45802,Women,Footwear,Shoes,Heels,Black,Fall,2012,Casual,Senorita Women Black Flats,45802.jpg
2679,19183,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Casual,United Colors of Benetton Men Check Grey Shirt,19183.jpg
2680,9406,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Graphic Black Tshirts,9406.jpg
2681,17825,Unisex,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,Nike Unisex Air Deschutz Black Sandal,17825.jpg
2684,3900,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Disney Kids Girl Pooh Pink And White Top,3900.jpg
2685,17019,Women,Footwear,Shoes,Flats,Brown,Fall,2013,Casual,Rocia Women Casual Brown Sandal,17019.jpg
2686,49435,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2012,Casual,Vans Men Blue Shoes,49435.jpg
2688,26598,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Puma Men Faas 300 White Sports Shoes,26598.jpg
2690,18297,Women,Apparel,Topwear,Kurtas,Multi,Fall,2011,Ethnic,Aneri Women Kaalki Multi Coloured Kurta,18297.jpg
2691,34861,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012,Casual,Vans Men Era Grey Shoes,34861.jpg
2695,6688,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,UCB Women's V Neck Black T-shirt,6688.jpg
2699,43933,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Catwalk Women Black Heels,43933.jpg
2701,15588,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Spykar Men Striped Blue Shirt,15588.jpg
2703,5831,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Sports,Puma Men's Cbn Logo Black T-Shirt,5831.jpg
2705,39742,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2012,Casual,Arrow Men Red Shoes,39742.jpg
2708,14668,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Basics Men White Slim Fit Checked Shirt,14668.jpg
2712,44924,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Jack & Jones Men Blue Jeans,44924.jpg
2713,39570,Women,Footwear,Shoes,Heels,Black,Winter,2015,Casual,Catwalk Women Black Heels,39570.jpg
2714,32198,Men,Apparel,Topwear,Kurtas,Grey,Summer,2012,Ethnic,Fabindia Men Printed Grey Kurta,32198.jpg
2716,19177,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,United Colors Of Benetton Men Navy Blue Shirt,19177.jpg
2718,49607,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Brown Heeled Shoes,49607.jpg
2722,7568,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Sports,Nike Men's Black Polo T-shirt,7568.jpg
2725,18899,Women,Apparel,Topwear,Tops,Maroon,Fall,2011,Casual,Arrow Woman Igor Maroon Top,18899.jpg
2727,41832,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Skechers Men Black Sneakers,41832.jpg
2728,4789,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Sports,ADIDAS Men's Demon Grey T-shirt,4789.jpg
2729,56885,Women,Footwear,Shoes,Heels,Red,Winter,2012,Casual,HM Women Red Heels,56885.jpg
2733,24499,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Mother Earth Women Green Printed Kurta,24499.jpg
2734,20805,Men,Footwear,Flip Flops,Flip Flops,Olive,Fall,2010,Casual,Fila Men Rambler Olive Flip Flops,20805.jpg
2735,9096,Unisex,Footwear,Shoes,Casual Shoes,Blue,Fall,2011,Casual,Converse Unisex Ct As Star Chevron Hi Blue Casual Shoes,9096.jpg
2737,7930,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Proline Men Black Polo T-shirt,7930.jpg
2740,17489,Women,Footwear,Shoes,Flats,Off White,Fall,2011,Casual,Rockport Women Beige Flats,17489.jpg
2742,13815,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Proline Pack of 3 Printed T-shirts,13815.jpg
2743,8978,Women,Footwear,Shoes,Casual Shoes,Purple,Fall,2011,Casual,Puma Women Saba Ballet DC3 Purple Casual Shoes,8978.jpg
2748,46825,Women,Footwear,Shoes,Casual Shoes,Off White,Winter,2015,Casual,Catwalk Women Off-White and Blue Pumps,46825.jpg
2749,19721,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Casual,United Colors Of Benetton Men Grey Shirt,19721.jpg
2750,34439,Women,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Myntra Women Explorer White T-shirt,34439.jpg
2754,31977,Women,Footwear,Shoes,Sports Shoes,Olive,Summer,2012,Sports,Nike Women Lunarswift +3 Olive Sports Shoes,31977.jpg
2755,46019,Women,Apparel,Topwear,Kurtas,White,Summer,2012,Ethnic,Fabindia Women White Printed Kurta,46019.jpg
2757,5469,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Nike Men's Nike Streetgato Black Shoe,5469.jpg
2762,5638,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2011,Casual,ADIDAS Men's Adi Liner Brown Flip Flop,5638.jpg
2768,21188,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2011,Casual,ADIDAS Men Adi Stars Tread Black Flip Flops,21188.jpg
2769,57108,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Elle Women White Top,57108.jpg
2770,20866,Unisex,Footwear,Sandal,Sandals,Red,Winter,2012,Casual,Disney Kids-Unisex Diamond Red Sandals,20866.jpg
